Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit
ORD-01025,2023-12-20,2023-12-26,Standard Class,CUST-203,Customer 123,Consumer,South,Texas,City4,Technology,Accessories,Product Accessories 25,1,0.15,79.81,11.06
ORD-01026,2024-04-12,2024-04-18,Standard Class,CUST-226,Customer 181,Consumer,South,Florida,City1,Furniture,Chairs,Product Chairs 26,2,0.15,416.97,35.14
ORD-01027,2023-03-21,2023-03-22,Standard Class,CUST-263,Customer 105,Consumer,West,Washington,City4,Furniture,Chairs,Product Chairs 27,1,0,195.86,14.88
ORD-01028,2023-02-06,2023-02-07,Standard Class,CUST-262,Customer 123,Corporate,West,Washington,City4,Technology,Accessories,Product Accessories 28,1,0.1,80.07,12.22
ORD-01029,2024-08-03,2024-08-09,Standard Class,CUST-335,Customer 302,Corporate,East,Pennsylvania,City1,Furniture,Tables,Product Tables 29,5,0,2185.37,199.92
ORD-01030,2023-11-21,2023-11-28,Standard Class,CUST-148,Customer 167,Home Office,West,Washington,City2,Furniture,Bookcases,Product Bookcases 30,4,0.15,1039.48,93.6
ORD-01031,2023-03-17,2023-03-24,Standard Class,CUST-132,Customer 320,Corporate,East,Pennsylvania,City4,Furniture,Bookcases,Product Bookcases 31,5,0,1547.03,118.29
ORD-01032,2023-04-22,2023-04-26,Standard Class,CUST-195,Customer 241,Home Office,North,Ohio,City3,Technology,Phones,Product Phones 32,1,0,730.31,92.7
ORD-01033,2024-11-07,2024-11-14,Standard Class,CUST-341,Customer 178,Consumer,South,Florida,City2,Technology,Accessories,Product Accessories 33,3,0,266.48,46
ORD-01034,2023-07-02,2023-07-09,Standard Class,CUST-135,Customer 255,Corporate,West,Washington,City2,Office Supplies,Storage,Product Storage 34,3,0.15,96.84,24.63
ORD-01035,2023-12-27,2023-12-31,Standard Class,CUST-187,Customer 217,Home Office,West,California,City1,Furniture,Bookcases,Product Bookcases 35,2,0,495.07,33.42
ORD-01036,2023-10-26,2023-10-30,Standard Class,CUST-127,Customer 135,Home Office,East,Pennsylvania,City2,Technology,Machines,Product Machines 36,5,0,2525.77,345.67
ORD-01037,2023-05-29,2023-06-03,Standard Class,CUST-337,Customer 124,Consumer,East,Pennsylvania,City3,Technology,Machines,Product Machines 37,3,0.1,1288.04,191.12
ORD-01038,2024-01-19,2024-01-22,Standard Class,CUST-265,Customer 168,Consumer,South,Florida,City2,Technology,Machines,Product Machines 38,1,0.05,476.47,70.76
ORD-01039,2023-01-26,2023-01-30,Standard Class,CUST-109,Customer 315,Consumer,North,Illinois,City1,Office Supplies,Binders,Product Binders 39,2,0.1,31.09,7.91
ORD-01040,2023-02-25,2023-02-26,Standard Class,CUST-347,Customer 174,Consumer,East,Pennsylvania,City2,Furniture,Tables,Product Tables 40,1,0.05,479.17,43.97
ORD-01041,2024-01-07,2024-01-13,Standard Class,CUST-321,Customer 241,Corporate,North,Illinois,City2,Office Supplies,Binders,Product Binders 41,4,0.05,66.94,12.25
ORD-01042,2023-12-03,2023-12-09,Standard Class,CUST-157,Customer 252,Corporate,East,New York,City1,Furniture,Bookcases,Product Bookcases 42,3,0,941.83,85.99
ORD-01043,2023-05-21,2023-05-28,Standard Class,CUST-153,Customer 203,Home Office,North,Illinois,City2,Office Supplies,Storage,Product Storage 43,4,0,153.12,38.86
ORD-01044,2023-05-10,2023-05-15,Standard Class,CUST-277,Customer 103,Corporate,North,Illinois,City1,Furniture,Chairs,Product Chairs 44,2,0,421.66,27.54
ORD-01045,2023-12-23,2023-12-30,Standard Class,CUST-340,Customer 165,Home Office,East,New York,City3,Furniture,Bookcases,Product Bookcases 45,1,0,240.76,18.96
ORD-01046,2024-08-24,2024-08-30,Standard Class,CUST-201,Customer 141,Home Office,West,California,City1,Office Supplies,Binders,Product Binders 46,2,0,38.06,7.76
ORD-01047,2024-12-01,2024-12-03,Standard Class,CUST-192,Customer 218,Corporate,West,Washington,City3,Office Supplies,Paper,Product Paper 47,4,0.05,41.41,10
ORD-01048,2024-03-27,2024-03-31,Standard Class,CUST-258,Customer 337,Corporate,East,New York,City2,Technology,Machines,Product Machines 48,4,0.1,1767.61,224.21
ORD-01049,2024-07-09,2024-07-12,Standard Class,CUST-232,Customer 121,Corporate,East,New York,City1,Technology,Machines,Product Machines 49,3,0,1664.18,294.7
ORD-01050,2023-06-26,2023-06-30,Standard Class,CUST-206,Customer 119,Home Office,North,Ohio,City4,Furniture,Tables,Product Tables 50,5,0.15,2006.05,180.75
ORD-01051,2024-01-31,2024-02-04,Standard Class,CUST-109,Customer 207,Consumer,West,Washington,City3,Furniture,Tables,Product Tables 51,1,0.1,358.71,32.05
ORD-01052,2024-06-21,2024-06-27,Standard Class,CUST-349,Customer 236,Home Office,North,Illinois,City4,Technology,Accessories,Product Accessories 52,2,0,162.11,26.4
ORD-01053,2023-11-02,2023-11-08,Standard Class,CUST-108,Customer 251,Home Office,West,California,City2,Technology,Accessories,Product Accessories 53,2,0.15,138.89,17.43
ORD-01054,2023-01-31,2023-02-06,Standard Class,CUST-291,Customer 277,Home Office,South,Texas,City1,Furniture,Chairs,Product Chairs 54,5,0.15,954.18,64.26
ORD-01055,2023-01-26,2023-01-31,Standard Class,CUST-153,Customer 168,Home Office,West,California,City1,Furniture,Chairs,Product Chairs 55,1,0,244.15,18.48
ORD-01056,2024-09-12,2024-09-16,Standard Class,CUST-266,Customer 287,Consumer,East,Pennsylvania,City4,Technology,Machines,Product Machines 56,1,0.1,464.34,67.55
ORD-01057,2024-12-08,2024-12-12,Standard Class,CUST-224,Customer 267,Corporate,North,Ohio,City4,Technology,Accessories,Product Accessories 57,1,0.1,76.77,10.06
ORD-01058,2023-04-23,2023-04-24,Standard Class,CUST-248,Customer 111,Home Office,South,Texas,City3,Office Supplies,Paper,Product Paper 58,2,0,23.18,4.85
ORD-01059,2023-03-03,2023-03-08,Standard Class,CUST-146,Customer 310,Home Office,South,Texas,City3,Furniture,Chairs,Product Chairs 59,1,0,202.22,15.23
ORD-01060,2023-04-28,2023-04-29,Standard Class,CUST-214,Customer 306,Corporate,East,New York,City4,Office Supplies,Paper,Product Paper 60,2,0,21.46,5.01
ORD-01061,2024-05-14,2024-05-15,Standard Class,CUST-250,Customer 200,Home Office,East,Pennsylvania,City4,Furniture,Bookcases,Product Bookcases 61,5,0.05,1449.93,123.38
ORD-01062,2024-09-18,2024-09-20,Standard Class,CUST-298,Customer 224,Corporate,North,Ohio,City3,Technology,Accessories,Product Accessories 62,3,0.15,255.45,31.64
ORD-01063,2024-08-02,2024-08-04,Standard Class,CUST-315,Customer 186,Home Office,North,Ohio,City1,Furniture,Bookcases,Product Bookcases 63,4,0,1229.23,100.51
ORD-01064,2024-04-15,2024-04-16,Standard Class,CUST-202,Customer 246,Consumer,South,Texas,City2,Furniture,Tables,Product Tables 64,3,0,1367.24,111.93
ORD-01065,2023-06-21,2023-06-24,Standard Class,CUST-298,Customer 173,Consumer,East,Pennsylvania,City3,Office Supplies,Paper,Product Paper 65,2,0,24.08,6.15
ORD-01066,2023-08-08,2023-08-15,Standard Class,CUST-327,Customer 134,Consumer,West,California,City3,Technology,Phones,Product Phones 66,1,0.05,676.56,113.2
ORD-01067,2024-10-13,2024-10-16,Standard Class,CUST-113,Customer 265,Corporate,North,Ohio,City3,Furniture,Bookcases,Product Bookcases 67,2,0,624.6,40.52
ORD-01068,2023-11-05,2023-11-08,Standard Class,CUST-216,Customer 207,Home Office,West,California,City4,Office Supplies,Binders,Product Binders 68,1,0.15,16.44,3.43
ORD-01069,2024-01-21,2024-01-27,Standard Class,CUST-324,Customer 284,Home Office,South,Texas,City4,Technology,Phones,Product Phones 69,5,0.15,3120.91,438.74
ORD-01070,2024-10-04,2024-10-09,Standard Class,CUST-102,Customer 150,Home Office,South,Texas,City4,Office Supplies,Paper,Product Paper 70,1,0,13.63,3.37
ORD-01071,2024-08-19,2024-08-26,Standard Class,CUST-295,Customer 251,Home Office,South,Texas,City2,Technology,Machines,Product Machines 71,3,0,1649.53,255.57
ORD-01072,2023-08-21,2023-08-22,Standard Class,CUST-177,Customer 262,Home Office,West,California,City3,Technology,Accessories,Product Accessories 72,2,0.15,185.22,24.66
ORD-01073,2023-06-02,2023-06-09,Standard Class,CUST-145,Customer 267,Consumer,South,Florida,City4,Office Supplies,Storage,Product Storage 73,1,0,38.92,6.97
ORD-01074,2023-06-14,2023-06-19,Standard Class,CUST-321,Customer 318,Home Office,South,Texas,City2,Furniture,Chairs,Product Chairs 74,3,0,730.06,60.46
ORD-01075,2024-07-05,2024-07-06,Standard Class,CUST-231,Customer 284,Corporate,North,Ohio,City4,Technology,Machines,Product Machines 75,1,0.15,411,70.77
ORD-01076,2023-09-03,2023-09-09,Standard Class,CUST-158,Customer 216,Home Office,North,Illinois,City4,Office Supplies,Paper,Product Paper 76,4,0,52.8,10.21
ORD-01077,2023-07-21,2023-07-23,Standard Class,CUST-248,Customer 178,Corporate,East,Pennsylvania,City3,Furniture,Bookcases,Product Bookcases 77,2,0.05,589.33,50.2
ORD-01078,2023-11-02,2023-11-04,Standard Class,CUST-132,Customer 246,Corporate,South,Florida,City4,Furniture,Tables,Product Tables 78,5,0.15,1915.67,169.39
ORD-01079,2023-08-11,2023-08-14,Standard Class,CUST-228,Customer 348,Consumer,North,Ohio,City2,Furniture,Chairs,Product Chairs 79,1,0,196.76,14.09
ORD-01080,2024-08-09,2024-08-13,Standard Class,CUST-256,Customer 317,Corporate,North,Ohio,City4,Office Supplies,Paper,Product Paper 80,3,0,39.6,9.62
ORD-01081,2024-03-20,2024-03-27,Standard Class,CUST-151,Customer 184,Corporate,North,Ohio,City1,Office Supplies,Paper,Product Paper 81,2,0.15,20.1,4.27
ORD-01082,2023-05-20,2023-05-25,Standard Class,CUST-110,Customer 125,Consumer,South,Florida,City2,Office Supplies,Storage,Product Storage 82,5,0,179.05,39.26
ORD-01083,2023-06-28,2023-07-05,Standard Class,CUST-296,Customer 145,Home Office,North,Illinois,City4,Furniture,Bookcases,Product Bookcases 83,5,0,1248.14,109.89
ORD-01084,2023-10-09,2023-10-15,Standard Class,CUST-102,Customer 163,Corporate,South,Texas,City3,Office Supplies,Binders,Product Binders 84,5,0.1,80.77,15.16
ORD-01085,2023-01-06,2023-01-13,Standard Class,CUST-191,Customer 144,Home Office,South,Texas,City3,Technology,Phones,Product Phones 85,4,0,2601.24,388.91
ORD-01086,2023-12-11,2023-12-17,Standard Class,CUST-138,Customer 209,Home Office,South,Texas,City4,Office Supplies,Storage,Product Storage 86,1,0.1,28.41,5.33
ORD-01087,2023-07-24,2023-07-29,Standard Class,CUST-211,Customer 342,Corporate,East,New York,City4,Office Supplies,Storage,Product Storage 87,5,0.05,160.74,40.53
ORD-01088,2024-06-06,2024-06-09,Standard Class,CUST-134,Customer 244,Corporate,North,Illinois,City1,Furniture,Tables,Product Tables 88,4,0.15,1624.91,108.91
ORD-01089,2024-06-23,2024-06-28,Standard Class,CUST-192,Customer 214,Consumer,West,Washington,City3,Furniture,Bookcases,Product Bookcases 89,1,0,301.94,27.07
ORD-01090,2024-12-30,2025-01-02,Standard Class,CUST-279,Customer 347,Consumer,North,Illinois,City3,Office Supplies,Binders,Product Binders 90,2,0,31.44,6.12
ORD-01091,2024-06-15,2024-06-17,Standard Class,CUST-332,Customer 347,Consumer,South,Florida,City2,Technology,Phones,Product Phones 91,1,0,773.44,117.09
ORD-01092,2023-03-12,2023-03-19,Standard Class,CUST-147,Customer 122,Consumer,East,New York,City3,Technology,Phones,Product Phones 92,5,0,2975.62,417.12
ORD-01093,2023-02-19,2023-02-20,Standard Class,CUST-190,Customer 342,Corporate,West,Washington,City2,Technology,Phones,Product Phones 93,2,0,1282.69,218.55
ORD-01094,2024-12-21,2024-12-25,Standard Class,CUST-136,Customer 118,Corporate,East,New York,City1,Office Supplies,Paper,Product Paper 94,2,0.1,22.86,5.65
ORD-01095,2024-02-14,2024-02-21,Standard Class,CUST-295,Customer 335,Home Office,West,Washington,City3,Office Supplies,Binders,Product Binders 95,1,0,19.43,3.69
ORD-01096,2024-07-23,2024-07-29,Standard Class,CUST-301,Customer 181,Home Office,North,Illinois,City4,Furniture,Tables,Product Tables 96,3,0.05,1353.85,86.95
ORD-01097,2023-03-14,2023-03-17,Standard Class,CUST-341,Customer 184,Home Office,East,New York,City2,Furniture,Bookcases,Product Bookcases 97,3,0,723.27,57.4
ORD-01098,2024-02-11,2024-02-13,Standard Class,CUST-232,Customer 338,Corporate,East,New York,City4,Technology,Accessories,Product Accessories 98,5,0,501.81,82.19
ORD-01099,2024-12-11,2024-12-16,Standard Class,CUST-191,Customer 296,Corporate,West,California,City3,Office Supplies,Storage,Product Storage 99,2,0.1,64.42,13.8
ORD-01100,2023-05-11,2023-05-15,Standard Class,CUST-210,Customer 345,Consumer,North,Ohio,City4,Furniture,Bookcases,Product Bookcases 100,5,0,1390.84,108.76
ORD-01101,2023-04-21,2023-04-23,Standard Class,CUST-118,Customer 326,Home Office,East,Pennsylvania,City1,Technology,Accessories,Product Accessories 101,4,0,399.67,68.43
ORD-01102,2023-09-28,2023-10-01,Standard Class,CUST-120,Customer 169,Consumer,South,Florida,City2,Furniture,Bookcases,Product Bookcases 102,2,0,572.21,36.78
ORD-01103,2023-01-31,2023-02-06,Standard Class,CUST-124,Customer 200,Home Office,North,Ohio,City2,Office Supplies,Binders,Product Binders 103,3,0.1,53.93,11.13
ORD-01104,2023-12-28,2023-12-31,Standard Class,CUST-252,Customer 153,Consumer,South,Florida,City3,Office Supplies,Storage,Product Storage 104,2,0,61.21,11.91
ORD-01105,2023-02-02,2023-02-08,Standard Class,CUST-186,Customer 149,Consumer,South,Texas,City1,Technology,Accessories,Product Accessories 105,5,0,515.84,74.82
ORD-01106,2023-05-21,2023-05-22,Standard Class,CUST-100,Customer 333,Consumer,West,California,City4,Office Supplies,Storage,Product Storage 106,1,0,36.17,8.75
ORD-01107,2023-06-06,2023-06-11,Standard Class,CUST-219,Customer 265,Corporate,North,Ohio,City4,Furniture,Chairs,Product Chairs 107,3,0,578.35,51.07
ORD-01108,2023-09-04,2023-09-09,Standard Class,CUST-134,Customer 102,Home Office,East,New York,City3,Technology,Phones,Product Phones 108,1,0,636.04,86.71
ORD-01109,2023-03-28,2023-03-29,Standard Class,CUST-289,Customer 330,Home Office,North,Illinois,City1,Technology,Machines,Product Machines 109,1,0.15,414.75,53.38
ORD-01110,2023-12-25,2024-01-01,Standard Class,CUST-294,Customer 154,Corporate,North,Illinois,City4,Technology,Accessories,Product Accessories 110,4,0.05,325.58,55.7
ORD-01111,2023-07-22,2023-07-26,Standard Class,CUST-258,Customer 246,Home Office,East,New York,City2,Office Supplies,Paper,Product Paper 111,2,0.05,23.96,5.89
ORD-01112,2023-04-14,2023-04-20,Standard Class,CUST-164,Customer 179,Corporate,North,Ohio,City1,Office Supplies,Binders,Product Binders 112,1,0,16.72,2.98
ORD-01113,2024-08-02,2024-08-05,Standard Class,CUST-241,Customer 187,Corporate,West,California,City1,Office Supplies,Storage,Product Storage 113,2,0,71.76,13.15
ORD-01114,2024-03-13,2024-03-17,Standard Class,CUST-121,Customer 213,Home Office,North,Illinois,City3,Furniture,Bookcases,Product Bookcases 114,5,0.1,1308.78,120.21
ORD-01115,2023-07-21,2023-07-27,Standard Class,CUST-156,Customer 247,Home Office,West,California,City1,Office Supplies,Binders,Product Binders 115,2,0,39.88,9.79
ORD-01116,2024-11-17,2024-11-18,Standard Class,CUST-222,Customer 248,Corporate,West,Washington,City1,Technology,Machines,Product Machines 116,4,0,2475.26,317.02
ORD-01117,2023-04-26,2023-04-30,Standard Class,CUST-126,Customer 116,Corporate,West,Washington,City1,Furniture,Tables,Product Tables 117,3,0,1223.24,90.36
ORD-01118,2024-10-05,2024-10-08,Standard Class,CUST-308,Customer 264,Corporate,East,Pennsylvania,City4,Furniture,Bookcases,Product Bookcases 118,5,0,1208.64,100.74
ORD-01119,2023-03-18,2023-03-21,Standard Class,CUST-120,Customer 300,Home Office,East,New York,City3,Technology,Accessories,Product Accessories 119,5,0.1,479.26,75.09
ORD-01120,2023-04-21,2023-04-23,Standard Class,CUST-274,Customer 130,Consumer,West,California,City2,Furniture,Chairs,Product Chairs 120,4,0.1,769.31,73.54
ORD-01121,2024-12-18,2024-12-22,Standard Class,CUST-161,Customer 240,Corporate,West,California,City1,Office Supplies,Storage,Product Storage 121,3,0,113.29,20.74
ORD-01122,2024-03-30,2024-04-01,Standard Class,CUST-342,Customer 302,Corporate,West,Washington,City3,Office Supplies,Binders,Product Binders 122,3,0.05,55.41,13.4
ORD-01123,2023-07-01,2023-07-03,Standard Class,CUST-176,Customer 231,Home Office,West,California,City4,Furniture,Tables,Product Tables 123,4,0.05,1878.26,161.24
ORD-01124,2023-03-06,2023-03-11,Standard Class,CUST-246,Customer 222,Corporate,North,Illinois,City1,Office Supplies,Binders,Product Binders 124,2,0,32.09,7.14
ORD-01125,2024-01-02,2024-01-06,Standard Class,CUST-295,Customer 280,Consumer,West,Washington,City1,Furniture,Tables,Product Tables 125,1,0,403.27,34.62
ORD-01126,2024-12-12,2024-12-18,Standard Class,CUST-203,Customer 117,Corporate,South,Florida,City2,Furniture,Bookcases,Product Bookcases 126,4,0,1152.82,88.48
ORD-01127,2023-09-09,2023-09-14,Standard Class,CUST-213,Customer 237,Corporate,North,Illinois,City2,Office Supplies,Binders,Product Binders 127,1,0.1,18.06,3.91
ORD-01128,2024-08-23,2024-08-28,Standard Class,CUST-279,Customer 226,Corporate,East,Pennsylvania,City2,Technology,Machines,Product Machines 128,5,0.15,2059,266.58
ORD-01129,2023-11-09,2023-11-13,Standard Class,CUST-254,Customer 224,Consumer,West,California,City4,Office Supplies,Binders,Product Binders 129,4,0.1,64.26,12.2
ORD-01130,2023-12-28,2024-01-03,Standard Class,CUST-118,Customer 211,Consumer,East,New York,City1,Technology,Phones,Product Phones 130,3,0,2148.29,285.12
ORD-01131,2023-09-16,2023-09-20,Standard Class,CUST-290,Customer 311,Home Office,East,Pennsylvania,City3,Technology,Accessories,Product Accessories 131,2,0,198.16,27.36
ORD-01132,2023-01-16,2023-01-20,Standard Class,CUST-125,Customer 176,Home Office,South,Florida,City3,Office Supplies,Paper,Product Paper 132,4,0,49.03,11.48
ORD-01133,2024-11-04,2024-11-05,Standard Class,CUST-135,Customer 300,Consumer,East,Pennsylvania,City2,Furniture,Chairs,Product Chairs 133,3,0,686.63,63.44
ORD-01134,2024-05-08,2024-05-13,Standard Class,CUST-289,Customer 349,Corporate,West,California,City4,Technology,Accessories,Product Accessories 134,1,0,105.77,16.77
ORD-01135,2024-01-23,2024-01-26,Standard Class,CUST-181,Customer 244,Home Office,East,New York,City2,Technology,Phones,Product Phones 135,4,0,2926.33,495.34
ORD-01136,2023-01-24,2023-01-28,Standard Class,CUST-143,Customer 252,Home Office,West,California,City4,Technology,Machines,Product Machines 136,5,0,2988.21,523.98
ORD-01137,2024-01-14,2024-01-15,Standard Class,CUST-110,Customer 157,Corporate,West,California,City4,Technology,Accessories,Product Accessories 137,5,0.1,410.4,70.07
ORD-01138,2023-06-12,2023-06-19,Standard Class,CUST-106,Customer 148,Consumer,East,New York,City3,Office Supplies,Paper,Product Paper 138,1,0,12.76,2.96
ORD-01139,2024-09-10,2024-09-16,Standard Class,CUST-259,Customer 139,Consumer,North,Ohio,City1,Furniture,Bookcases,Product Bookcases 139,2,0.15,542.33,37.88
ORD-01140,2023-08-14,2023-08-19,Standard Class,CUST-206,Customer 173,Consumer,East,New York,City1,Furniture,Tables,Product Tables 140,4,0.15,1463.12,140.33
ORD-01141,2023-06-09,2023-06-16,Standard Class,CUST-329,Customer 271,Consumer,North,Ohio,City2,Technology,Machines,Product Machines 141,4,0.1,2119.68,325.71
ORD-01142,2023-01-20,2023-01-22,Standard Class,CUST-210,Customer 133,Consumer,North,Illinois,City1,Furniture,Bookcases,Product Bookcases 142,2,0.05,469.68,44.48
ORD-01143,2023-08-12,2023-08-19,Standard Class,CUST-197,Customer 177,Consumer,East,New York,City4,Furniture,Bookcases,Product Bookcases 143,4,0.1,874.23,59.9
ORD-01144,2024-05-24,2024-05-27,Standard Class,CUST-335,Customer 241,Consumer,North,Ohio,City1,Furniture,Bookcases,Product Bookcases 144,5,0.15,1300.41,119.88
ORD-01145,2023-05-09,2023-05-16,Standard Class,CUST-108,Customer 169,Consumer,East,New York,City1,Office Supplies,Paper,Product Paper 145,3,0.1,36.4,9.48
ORD-01146,2023-12-03,2023-12-06,Standard Class,CUST-170,Customer 168,Consumer,North,Illinois,City4,Technology,Phones,Product Phones 146,2,0,1529.22,190.61
ORD-01147,2024-03-09,2024-03-15,Standard Class,CUST-296,Customer 232,Consumer,East,New York,City1,Office Supplies,Binders,Product Binders 147,4,0.15,60.5,11.14
ORD-01148,2024-07-10,2024-07-17,Standard Class,CUST-155,Customer 341,Consumer,West,Washington,City3,Office Supplies,Paper,Product Paper 148,4,0.1,46.57,10.96
ORD-01149,2024-08-20,2024-08-27,Standard Class,CUST-262,Customer 208,Corporate,West,Washington,City1,Technology,Phones,Product Phones 149,3,0,1977.82,339.17
ORD-01150,2023-09-02,2023-09-07,Standard Class,CUST-258,Customer 218,Consumer,South,Florida,City4,Office Supplies,Storage,Product Storage 150,1,0.1,29.65,6.61
ORD-01151,2023-10-23,2023-10-27,Standard Class,CUST-103,Customer 327,Home Office,East,New York,City4,Furniture,Chairs,Product Chairs 151,4,0.15,711.94,60.65
ORD-01152,2024-04-20,2024-04-23,Standard Class,CUST-318,Customer 205,Consumer,North,Illinois,City1,Furniture,Bookcases,Product Bookcases 152,1,0.1,232.77,21.44
ORD-01153,2023-02-27,2023-03-06,Standard Class,CUST-298,Customer 281,Home Office,East,Pennsylvania,City4,Technology,Phones,Product Phones 153,1,0.05,607.7,96.47
ORD-01154,2024-07-30,2024-08-02,Standard Class,CUST-174,Customer 169,Corporate,South,Florida,City3,Furniture,Bookcases,Product Bookcases 154,1,0,273.67,19.66
ORD-01155,2024-11-02,2024-11-09,Standard Class,CUST-293,Customer 143,Corporate,East,New York,City2,Furniture,Bookcases,Product Bookcases 155,3,0,730.67,64.68
ORD-01156,2024-03-14,2024-03-19,Standard Class,CUST-169,Customer 327,Home Office,North,Ohio,City2,Technology,Accessories,Product Accessories 156,1,0,92.13,16.22
ORD-01157,2023-05-27,2023-06-01,Standard Class,CUST-140,Customer 242,Home Office,West,California,City3,Furniture,Tables,Product Tables 157,5,0.05,1896.31,158.83
ORD-01158,2023-01-13,2023-01-19,Standard Class,CUST-158,Customer 140,Consumer,West,Washington,City3,Technology,Machines,Product Machines 158,4,0.15,1689.32,289.67
ORD-01159,2023-06-17,2023-06-24,Standard Class,CUST-175,Customer 346,Corporate,West,California,City2,Furniture,Chairs,Product Chairs 159,2,0.1,445.61,38.93
ORD-01160,2023-07-18,2023-07-21,Standard Class,CUST-132,Customer 308,Consumer,East,Pennsylvania,City4,Office Supplies,Paper,Product Paper 160,4,0.1,38.5,9.38
ORD-01161,2024-04-09,2024-04-13,Standard Class,CUST-161,Customer 346,Home Office,North,Ohio,City1,Technology,Machines,Product Machines 161,2,0.05,1104.88,139.03
ORD-01162,2024-02-13,2024-02-19,Standard Class,CUST-196,Customer 247,Corporate,East,New York,City1,Technology,Machines,Product Machines 162,4,0.15,1630.17,213.63
ORD-01163,2023-07-31,2023-08-05,Standard Class,CUST-260,Customer 300,Corporate,West,Washington,City3,Technology,Accessories,Product Accessories 163,3,0.15,246.53,34.52
